F4HS99	Q94C77
Q9S7C9	B3H5W5
Q9LMN8	F4K3J7
Q9LPL4	Q9SHS7
F4HY32	Q9XGU0
Q93ZX1	F4KBW6
Q9XI07	F4IVJ8
A8MR37	Q9SJ72
Q8LFJ5	Q9LK40
Q8LFJ5	Q564K3
Q9SK87	Q9SHL8
Q9SK90	F4HTR3
A0A1P8AU61	Q9C9K4
O64380	Q94K07
O80542	Q8LGC7
Q9LR30	Q6TLJ2
Q9LR26	Q9LZ76
Q9LDA9	Q9SJ03
P59271	Q9FKW3
A0A1P8AM70	F4JZW1
A0A1P8AM70	O04316
Q9ZUC1	Q9FG28
Q8S528	F4I907
O48682	Q9LD90
O48696	P56802
Q9FYL9	Q9LDE3
F4ICF4	Q9LEU8
Q8W4F3	Q9XGM1
Q8W4F3	Q8L718
Q93ZV1	Q9LTI2
Q944L5	F4IA30
Q9LQX5	B3H6B0
Q93VI3	Q9M9N2
Q96289	O48682
F4HUT3	Q9C609
Q9FZ87	Q9M2G1
Q9FZA2	F4J0K8
F4HWK6	Q42540
F4HWL3	Q8RWY7
F4HWL4	Q9SYP1
Q9SGN6	Q9SUR5
Q9C7Q1	Q9LPK9
Q8L6Z7	Q8RX88
Q93Y37	Q8L725
F4I4R0	Q9LPS8
Q8VYJ1	Q9MB58
Q8VYJ1	Q9ZRP7
Q9SA87	Q9XIN8
Q949S2	Q9MA17
Q9SY33	Q9M329
Q9FYH7	Q8VZC7
Q9C6W5	Q8VY09
Q9C8X8	Q9FJP3
F4I3A7	F4IEU4
P11035	Q9FHJ5
Q9FZH0	Q8L7T3
Q9C763	Q9C6D7
Q9C7S0	Q9FX43
Q9C8C2	Q9M2A8
Q8L7S9	Q9C8X8
Q0WRX5	Q9FI17
Q94LA4	P49333
Q94LA4	F4JAA5
Q9MBA1	Q8GYS4
Q9MBA1	Q9FFC7
Q9MAK9	Q9FLF0
P42743	Q9C7E9
Q39241	Q9SUW6
Q3ECW0	Q9LZW9
Q3ECV3	F4JCM3
Q9S7T8	Q8GWH3
Q9FV70	Q9FKC6
Q94CJ3	Q9LVS0
Q9M5K3	P51818
Q9LNF4	Q9LM33
Q949Z1	Q9SZ65
Q949Z1	F4KFW5
O04005	Q9LQ02
Q9LP74	Q4TU44
Q9LP74	Q9FI19
Q9LP74	Q9LSC4
Q9FV81	Q8RXU4
P94063	Q8RV72
Q9C4Z6	Q39189
Q0WLF0	Q8VZN6
P57720	Q84JV3
Q8VY06	Q9CAT3
Q9LPM2	Q9LY44
Q9FR53	Q9ZUZ2
P36428	Q9M2G7
Q39102	Q9S818
Q8LD49	F4HVG8
Q94BR5	Q9LYT1
Q9SPK5	Q9FV53
Q8L7T3	Q9SFU1
Q9LPS6	Q58FY6
Q9LPS9	Q94CA9
Q9C680	Q8VYB5
Q9C8J4	Q9LFP0
Q3ECS3	Q9M9H2
O80397	Q39222
C0LGG3	Q9STX5
B3H5T1	Q9FKD5
O24408	Q6J9Q2
Q43292	F4K3X8
F4ICW3	Q9C7S5
Q9SSR1	Q9ZUC1
Q9SSR2	Q8GUN6
Q9ZNU2	Q9CAI3
Q9C920	P92949
Q9C920	Q9SX29
Q9LNN2	Q9LVI6
Q93YQ0	Q84LK0
B3H708	Q8S8D6
Q9C8L2	O04983
Q9SYG5	Q9C9U7
F4HVA0	F4IW47
Q8S396	P43288
Q9FQ04	B9DGT7
Q8RWI0	Q9FEC1
Q9ZVL6	Q9FLG1
Q9ZVL6	Q9LPM9
Q9FZ37	Q9C704
Q9C723	F4JRR2
Q8H1F5	Q9LR78
Q6NQK8	Q9SKT0
Q9C718	P48348
Q9LG23	Q8VYU8
F4I3J0	P42752
Q7DLR9	Q9SI20
Q7DLR9	Q8VX13
Q9FE25	Q9SLL7
F4I9P7	Q9SPN3
F4I9Q5	F4K6R6
P0DI17	Q9LUZ6
Q9LQ54	Q93Z29
Q9LQ46	Q2V4A7
F4IEM6	Q2V470
P52901	Q93ZM7
Q944S1	F4JE17
O80738	P51818
Q8RXN6	F4HPB8
P42339	Q8GZB6
O64790	Q8S9L5
O64787	F4IBK4
Q94B38	O22211
Q1PFH8	Q9ZQI2
Q8GY68	Q8LEZ4
F4HX45	Q9SIV2
Q9SI75	O23160
P46646	O81325
B3H572	Q9ZSS6
Q9CAM7	Q9C680
Q9SH27	Q39091
Q9CAC8	P0DKI3
Q9CAD6	Q9SI06
Q9CAK8	B9DG41
Q940M0	Q9FFZ6
Q9SH59	P47192
P93002	Q8GW44
P93002	Q0PCS3
F4I886	Q8LD83
Q9XIQ1	Q9SAB6
Q9SS53	Q94AQ6
F4I9X6	Q1PEI1
O80809	F4JIN3
Q9AT00	Q9SZR9
O04474	Q9FX85
Q9SS00	Q9LFA3
Q9SRZ6	Q9LND8
Q39265	Q945S5
Q8LFP9	O23051
Q9ZW89	F4IUX6
Q9FXD4	Q9FGI6
Q8LDL0	F4J355
Q8L9C4	Q9FVC8
Q9FXE4	Q39247
Q9C9W3	O80917
Q9M9C7	Q9FUZ2
Q9S7Y7	F4KBF5
Q9SX25	Q9M345
Q9SX31	F4JN05
Q8GVE8	Q42593
Q9CA40	Q9SVM4
Q9CA40	F4ICF4
Q96519	O81850
Q15KI9	P56796
Q9C9L0	F4KIB2
Q9C9L5	Q9C535
Q9SFH9	Q9FG89
Q9SFH9	Q9FJP3
Q949X9	Q9SZA7
Q9C9I5	Q9MAQ0
Q9C9I5	Q8GW85
Q9C9I7	Q9SB65
Q9C9J0	Q9CAE8
Q94BU1	Q9LD95
Q39232	Q944L3
Q84W40	O65375
F4IBQ9	Q8RWL0
Q9FNX8	Q941I6
Q9CAI1	Q94JQ3
Q8H0W0	A8MSD3
Q9SSL9	P43082
Q9CAT1	Q9S9M1
F4HQ47	Q9SVN5
P92976	F4I420
Q9SG63	Q9SY09
Q9CA68	Q9SH27
Q94F10	Q9FHG0
Q9S7Q2	P48622
Q8RXN5	Q0WRY1
Q9FWT4	Q43127
F4HZ57	F4J264
Q1PFD0	Q3ECL0
Q3ECD0	Q8GUM8
P11490	Q9LMI3
Q8VYI3	Q8L940
Q8GX25	Q9LF41
Q9S7E6	Q8W4Q3
Q9S720	Q9FFG6
Q8GYB8	Q8H114
Q84WW6	Q9FFG2
Q9SRD5	Q9SJU9
F4I420	Q9FVQ1
F4I421	F4KFW1
Q2LAE1	Q9LNC5
Q9SRG3	Q9FGK9
Q67XK8	Q9SIL3
Q84VX4	O49730
Q93ZE2	F4I0Z0
Q1G3W3	Q940M0
Q8S948	F4JP07
Q42599	F4IX20
Q9SAL0	Q71N54
Q9SAK4	Q9SFH9
P47996	Q7Y228
Q9SAJ8	Q9LVZ5
Q9CA83	Q9SZ54
Q84VZ1	Q4TU35
P16180	Q93VR4
Q42563	Q9LD48
Q8GXI9	Q9FGM9
Q1G324	Q9LVN7
P93832	Q9M304
Q9M8N2	Q0WRJ7
Q9ZU32	Q9LMR3
Q9ZU96	Q5XET8
Q9ZU96	Q8W4H1
Q8GUU3	Q9LNC0
Q9C5U0	Q8LEA2
Q8S341	Q9LTH8
Q9LKW9	Q9FF81
Q9ZVQ5	P34795
O64728	F4IPY2
O64728	Q9SZJ5
Q84K41	F4JM82
O80605	F4HTX0
O81061	P56755
O81061	P59228
Q9ZQ78	F4IYZ0
Q9ZQ80	F4K9G7
Q9SI58	Q9LUT2
Q2V2Q4	F4KBH7
Q9SIF2	Q8H159
Q9SIF2	O64793
Q9SIF2	Q9T071
Q3EC71	P0CAY6
Q9SIA1	Q9FY67
F4IF99	Q8L831
F4IFC5	Q9FM97
F4IFC5	Q5GM68
Q9SI33	F4JXF9
Q9SJ39	F4HP86
F4IHC1	F4JCC9
Q9SIB9	Q42583
Q9SIB9	Q9FGS4
Q9SIB8	F4J339
Q9SKI4	F4JX00
O80786	Q9LKI5
F4IMC7	Q9SCQ6
O80792	Q9LD95
F4INF6	P56772
Q56YA5	Q8GZ10
Q2V485	Q9FI18
Q9SIU0	Q9LZ26
Q9SIT6	Q8L9Q7
P82793	Q9ZVD3
Q9SHU5	Q6NMI3
Q9SJP5	Q93Z91
C0LGK4	Q8RXN6
C0LGK4	Q8S8F7
Q9SI61	Q9LIS0
Q1PF57	Q9LVC0
P93032	Q9C544
F4IMH3	F4JUX3
Q29Q26	Q9ZVH4
Q9SHL8	P93812
Q9SHL7	Q93Z51
Q42344	Q9M2V9
Q42344	Q9FZK9
F4INK3	Q9SFV7
P21216	F4JXF9
Q9ZPW9	Q84TF6
F4IQJ6	F4ISQ7
O64628	Q42344
O64481	Q9M2Z1
O64566	F4I2E4
Q8S8S8	P59224
Q8S8S8	F4J4V1
Q9ZUM9	Q9LS28
Q38905	P82637
Q93Z70	Q9ZUU4
Q9SL79	Q9S9M7
Q8RY79	Q9SLN5
O82662	Q9SU38
Q9SIM4	Q9SD20
Q8S8D0	Q9FJX0
Q9SIU9	Q1PEH0
Q9SJT9	Q680A6
Q03250	Q0WQF7
Q9SJ20	Q9SZD1
Q9SJ12	O81147
Q9SJ02	Q9FMC7
O64818	Q8LD83
O22194	Q9M7Y1
O80458	Q84TE0
Q38998	Q9ZVD7
Q9SZY4	O80653
Q6NLB1	Q9M896
Q9ZVD5	P29515
F4IFN6	Q84WJ9
Q56YN8	Q949Q0
Q9XIN3	Q9FNH6
Q9ZNV5	F4J738
Q9SKN0	Q9LME4
Q9ZV25	Q8S8P5
O81069	Q6J9S1
Q9ZW05	Q8GYL4
Q8L7W3	Q0WRA3
F4IKQ3	O49429
O22927	Q9LIR9
O04350	Q2HIM5
Q8LEV3	Q8LGN1
Q8LEV3	Q9C9U5
Q8LEV3	Q9SYI2
F4INY4	Q9SAF2
F4INY4	Q9FJP2
O80856	O81644
Q9SJX1	F4HXL1
Q9SIQ7	Q39010
Q9SKB8	Q0PCS3
Q9SKZ6	Q9S9U6
Q9SKZ3	Q9SJL8
Q9SKZ3	F4IBL4
F4ISS7	P48486
Q9ZV65	P46897
Q9ZV69	Q96291
Q8S8L9	Q93ZN5
O80885	Q39195
O48852	Q0WUA3
O49325	Q8LCC7
Q1PEX3	F4I7P0
O22951	F4JVS4
O22953	F4HPP7
A0A1P8AX45	Q94AU2
O80770	Q9SY67
Q8VYN4	Q9FNB5
O64682	O80396
F4IIU4	Q9SE43
A8MQL7	Q9LUB8
O64753	Q8GYE8
Q84XV2	Q3E906
Q8RWT5	Q9C9W3
O82178	Q9FH05
O82175	Q9SU25
Q944A9	F4I8B9
O82290	Q9C535
Q9ZQN9	Q9FGF6
Q9ZQN9	Q9LYR5
Q9SJ52	F4HRJ4
Q9SJN3	Q39204
O23647	Q8GW64
F4IQ07	Q9SVY0
Q9ZUU2	F8S296
Q9SP35	Q0WN54
Q0WQJ7	Q2V3L5
B9DFK5	Q8GWT4
Q9LD43	O81915
F4ITX5	F4HQ47
Q84JS8	Q9FNL4
Q9SII0	O23047
F4ITY4	Q9SM27
Q9ZV15	Q9SVT4
Q9ZV06	Q8GYA3
O80959	Q9SSN6
O80952	Q9C8T3
O48814	O04035
P10896	Q6NQ87
Q9XEE8	Q9STJ8
F4IH25	Q8W4C1
Q8RUZ5	Q9LEU7
O22886	Q8W4I6
Q5BPR8	Q5PP33
Q501D5	Q9MA60
Q93VB0	Q6NM71
Q949Q0	Q208N7
Q949Q0	Q9LJE4
F4II36	Q9FKM5
O22211	Q84LG4
P93754	Q9M9E9
P93752	P51567
O48520	Q9FJY5
Q0WQM7	Q58FX2
Q9SIN1	Q9FFG1
P42795	Q8L9S0
O24495	F4IHC3
O24495	Q8GUI2
O22842	Q9SHZ1
O22842	Q9SZL9
Q8L3P4	Q9SIR9
O22824	Q9FGV2
O22824	Q683C9
O22823	Q9LZ82
O22823	Q0WPW2
O22823	Q7XA68
O80567	Q9LS47
O80575	Q09152
Q945S8	Q84MZ4
O80585	P46312
B3H503	Q9C8B8
O64883	O64784
O64884	A4FVS2
O64886	F4KGU4
F4IV25	F4JVY3
O22160	Q8GYM4
Q9SLN5	Q9C829
F4IW47	Q94BQ2
O22131	Q9MAC1
Q9FVC8	P56755
O64638	Q9ZVW5
O80842	Q9FK35
Q8GYQ5	Q9SMS0
O82347	O22609
P42776	P92983
Q38884	Q94AD8
F4II66	Q944S1
O82339	Q6DST1
Q9ZPY7	Q9LW17
F4IL30	Q9FJY5
F4IL43	O65685
O22261	Q9C9A9
Q96266	P56791
Q8L725	Q8RXE9
O82255	Q9FFC7
F4IN59	Q9LXJ0
Q9ZU79	Q9SJL4
F4JEB4	F4IW47
F4J117	O81347
Q9SSA1	P93045
Q8H0T6	O49675
Q8H0T6	F4IBX5
Q6NQM0	Q7XJJ7
F4JFJ3	Q9XFS9
Q3EBD3	Q8L3X8
Q8L9N1	Q9LX13
Q0H8D7	Q94CA9
Q9M8R4	Q6NPS8
F4IYF8	Q9XFH4
Q681Z2	Q9FJP9
P54968	Q9SSP5
Q9M8T0	Q94B40
Q9M9N1	Q5ICL9
Q9M9N1	Q9FJX8
A4VCM0	Q9LMP1
Q0WVZ1	Q3EDL3
Q6ID70	Q9M1X4
Q9SRV7	Q9SSR2
Q9SQR8	P28188
Q9SQR2	P0CZ23
Q9SQQ7	Q8VXU9
P25858	Q9LZD7
F4J3Q1	Q500V8
Q9ZTP3	Q2V3I3
Q9SQZ9	Q9SRW7
Q05212	F4KDS0
Q05212	P93292
Q56XP4	Q39108
Q0WP44	Q9ZQA8
Q9MAB2	F4INY4
Q9M9V9	P55228
Q9M9W3	Q9FUQ7
Q9M9L7	Q9C5J6
B3H758	Q9C570
Q9M7T1	Q9STV0
Q9ASW1	Q8W1X2
Q9LDE1	Q9ZT71
Q93Y07	Q9M001
Q9C8Z4	Q9LML3
Q9SEE5	O48963
Q9C8Z9	Q9LDE1
Q9C522	Q9LQQ2
Q9ZPI5	Q6NKX1
Q39214	Q0WWT7
B3H7H1	O81148
Q9SRR8	Q9S7C0
Q9SRR2	F4HW65
Q9S7D2	Q8GW46
F4JFN3	Q9FIJ7
Q1H5B2	Q9LNK1
Q9C9Y7	Q9SZ75
Q9SR87	A0A1I9LTP5
Q9SR96	Q05085
Q9SR37	Q949W8
F4J181	Q9C9L0
Q9SF47	O23569
Q9SF35	Q42290
Q6IDB3	Q9SAA2
Q8LDN2	Q8LGH4
Q94JR1	Q9LF46
Q8RWY5	Q944A6
F4J2K4	Q8L6Z7
F4J2M6	Q6EWX1
Q9LPP3	Q9C5S1
Q9CAY7	F4J3C1
Q3EB87	Q7Y222
Q96291	Q9S724
Q9SF23	Q9SA96
F4J8K6	F4I9X6
Q9LH50	Q8RXF2
Q9C7D4	Q8GW20
Q9LKZ3	Q9FKT0
Q9LKZ3	Q84L33
Q9LHH3	Q9MAU6
Q9LHH3	F4JZH9
Q9LHH3	Q9SYZ4
F4JB05	Q5PP65
Q1EBV4	P42742
Q94AB4	Q9SMY8
F4JDB5	Q9SGI8
Q8VXU9	F4JJJ3
Q9LJD8	Q9SIC3
Q9LID6	Q9FLT4
Q9LIC4	Q8GZ07
Q93ZM7	Q7G959
F4JEL4	F4K5W5
Q8RWN9	Q9LES2
Q9LVK3	P53494
Q9LUE1	Q9STW4
Q9LUC1	Q9M9H6
Q9FPF0	Q7PC81
Q8W566	Q9SKZ7
F4IXI5	Q9T0L5
Q9LW08	Q500V2
Q8GXG1	Q9SLK0
Q93Z51	Q8GW53
Q9LK73	Q8L844
Q9LRZ5	Q9S7G2
Q9LSQ2	Q8GRT9
Q9LSP7	P55034
Q8RWG2	Q9C8B7
Q8RWG2	Q9SV41
Q93XW8	A8MQS6
Q9LVH5	Q9SUN3
Q9SWE5	Q8H0V1
Q5G1S8	Q9LEU9
Q9LII1	Q9FEF8
Q9LSA1	Q8LFH7
Q9LHN4	Q9ZNV4
Q6PUA2	Q5BPR8
Q9LT84	Q9LES2
Q9LT27	Q7Y211
Q39085	Q9XEE2
Q9LJY2	Q9FJZ9
Q9LTR2	Q9LKW9
P49077	P35614
P49077	F4I600
Q94JQ4	Q9FGC7
Q9LTQ0	Q9SSW2
Q9LTQ0	Q0WVJ5
Q9LTQ0	Q8GUP1
Q9LTQ0	Q9FY66
F4JEP5	Q0V7V4
O48915	Q9SAR0
Q9LIG9	F4I8X6
Q944H2	O81004
Q944H2	Q8W4S4
Q944H2	Q42290
Q9LSY5	Q9LSP0
O81098	A4VCL9
Q39219	Q9FYG2
Q9LUI6	Q9SLE4
Q39009	Q9M8Y4
F4J2T9	F4JP84
Q38825	Q6LA43
Q682V0	Q8LDP4
Q9LUG5	Q08112
A0A1I9LTS6	Q00917
Q9LIR9	Q9STI8
P30182	Q93VT9
Q9LIQ9	Q67XD9
Q9LIQ4	Q9LMQ3
P48641	Q84JF0
Q9LK08	Q9M042
Q9LHF2	F4IIG2
Q8H0W1	O82178
Q42561	F4KH14
Q9LSG5	Q9C9L6
Q38935	Q9SR23
Q38931	Q9FK59
Q9LI74	Q9M2E3
P0DI76	Q9FIY8
Q8RWN3	Q9STN3
Q9LUA5	Q9C641
P25873	F4IYZ0
P25873	Q9SR43
Q9LU97	Q9C593
Q6DR02	Q9LJY2
Q9LU86	Q9LY77
Q8H1F2	Q96326
O65785	Q9SF15
O65786	Q94AQ8
O65786	Q9SH08
Q9LIP4	P46283
Q38958	P50700
P25856	Q682Q6
P25856	Q7X9H2
Q9LSE4	Q6TLJ2
Q9LW27	Q9LUA3
Q9LSD8	A0A1I9LS70
Q66GK1	P11574
P27900	Q9C9H8
B3LFC1	Q0WRY1
Q9LH85	Q9STE8
F4J0B5	Q9FI98
Q9LJJ5	P93311
Q9MBG5	Q8LAI1
Q38864	F4IFC5
F4J1T2	Q9ASR1
P42738	Q8L586
Q9ZNV8	Q9SXZ2
Q9LJA2	Q9LXB0
F4J7V2	F4JRD3
Q9M2B0	Q93V88
Q9M1L1	B3H5N8
Q7XZU2	F4HRS2
Q9LXK9	Q9LTP6
F4IXW2	Q84L08
Q7G192	Q03251
F4IZ65	A4VCL8
Q9LZH5	Q8L9C4
Q9M291	F4JCT1
F4J339	Q6Q152
F4J355	F4K0E6
O22241	F4IMJ8
F4J376	P53492
Q9FYC5	Q84XV2
Q9LXH3	Q0WQM7
Q9M1F7	Q8W117
F4J6S4	P93741
B3H656	Q9LV08
Q0WVR4	Q9LXB4
O23629	A0A1P8B3U9
Q9LX85	Q9FIW0
Q42453	P0CH32
Q42453	F4K1T0
O82413	Q9LZ03
O82413	F4HUK6
Q9SNA3	Q0WT19
Q42541	Q38912
Q42541	Q9C5H5
P53497	Q9LRP7
Q9SNB7	Q949S6
Q9STE6	Q9SV22
Q9STE6	Q1PEH6
Q9STG6	Q9T0K7
Q9SD76	F4JVS4
Q6NMA7	Q9LRY1
P49078	Q9SXC4
Q9SN86	Q8L785
C0LGP4	O49448
Q9SN78	Q93VS8
Q9SN78	Q9FNE9
Q9SN73	Q8RYE9
Q8GYT9	F4KCN6
Q9SU63	Q39119
Q9SU72	Q9FWW9
Q0WV86	F4IUR7
B3H4X7	Q2V477
Q9STM3	P42644
F4JF18	F4JBA2
Q9SMP2	Q9LHA8
Q9SMP0	Q9FL33
Q9SMM7	B3H4X8
F4JF53	Q9LEV6
F4JF58	Q84JH2
F4JF59	Q9LUK6
Q9SMT1	Q9LSB4
Q9SMT2	Q9LQ81
P41127	Q94F88
Q9SG17	O49433
A2RVS6	Q96529
Q9SCK6	Q1PE40
Q0WTB4	Q8GUN2
Q9SN24	Q9SIN1
Q9SN12	F4JYI4
Q9SCZ4	Q8LPT1
Q96327	Q9SY09
Q9ZRT1	Q9ZSZ8
Q9SVC2	Q9FXE3
Q9SVC8	Q9FH82
Q9SVD4	F4K6B6
B9DHA6	Q8L8W5
Q8GUM5	Q9XIF4
Q9LXJ0	Q42139
Q8S340	Q9FDZ5
Q8L8A7	Q56YW9
Q6TBX7	Q94AC8
F4J9A0	Q6NLQ7
Q9SCN8	Q6NNH6
P42551	Q9FDZ9
P51566	Q9FHE4
P51566	Q9FPS0
O24466	Q93Z27
Q9M336	Q9LSX4
O24621	Q93VB8
O24621	O65571
Q7DMA9	Q9SP32
Q9M390	Q944H2
Q9M2U7	Q9M2Z1
Q9M1I1	Q93VH6
Q8W104	Q9SW96
Q6Q1P4	Q9FV70
Q9M1S9	F4JW44
Q9CB01	Q9S9K4
Q9M2W3	Q9FG58
P82538	P48529
Q0WVH0	P59271
Q9M2S5	Q9LXW7
F4IY62	Q9LFQ8
Q93ZK1	Q0WSF1
Q9LYN2	Q9SU58
Q9LYL3	F4K2A1
Q8VXZ7	Q8L742
Q9LYL0	Q9SSB4
Q9LYL0	F4K087
Q6NM71	P49692
Q9LXY7	Q9M0W4
Q9LES4	Q9C5U1
Q9LES3	Q9SJA4
Q9M591	Q9FHG3
F4J246	Q39072
F4J264	Q8RWP0
F4J284	F4HPZ9
Q9M682	Q9SRH6
Q9M2J3	B3H4Z4
P48578	Q8LGE3
Q84JR9	Q9SN09
Q9LXT3	Q9SXJ7
F4J738	Q9FDZ9
A0A1I9LLD6	F4JCZ1
Q9LX30	Q9LYQ8
Q9M1X9	Q9SH17
A0A1I9LN21	Q8L7L0
Q9M001	Q6NMB6
Q9M001	Q9SX22
Q8RWV0	F4I1T8
P59223	Q9FGI6
Q9M2D5	F4JG15
P38557	Q7Y216
P92964	Q8GYM6
P34791	Q9FVU0
Q9M1R4	Q9FFE4
Q9M1R2	Q6NPD8
Q9LZH9	O22267
Q9LZH9	Q9SZA7
Q9LZH8	P42698
Q8RX79	Q9STS7
Q9M1W4	Q9SLI4
A0A1P8B4K0	Q8RWF4
Q8VZJ9	P0CC32
O65258	Q93XM7
F4JHF1	P22197
O23095	Q9M098
O23081	F4JFN3
P0CE10	F4KHA2
Q9M153	Q9LRP8
O04603	O82344
O04603	O80575
Q9M128	Q9LI74
F4JHA2	Q8RU07
O81417	Q8S3F1
Q11207	Q9SF55
O49621	Q9M0W4
Q1G3K1	Q9SSQ9
F4JGB0	F4ISE1
F4JGB6	Q38899
Q8LFI5	O22137
Q9S9V0	P93753
Q9M0Z5	A0A1P8AX45
Q94AP0	Q9LUB2
Q94AP0	Q6NQL4
Q94BV7	A0A1P8B8B4
Q94A85	O64380
Q9M0W8	Q8VZ14
Q9M0V5	Q94A09
Q9S9V8	P93015
Q9ZQC0	Q42112
Q2V3L0	A8MRN0
Q2V3L0	P82620
Q681I0	Q9LFF6
F4JJ78	B3H5C8
Q9ZRV4	Q9ZPY7
Q9M0P8	P82620
Q38851	Q38884
Q38851	F4I9J7
Q9M0N8	Q9M337
Q9SZ92	Q8RWS6
F4JKS9	Q9LRQ1
F4JLJ2	Q93Y22
Q8GW25	Q9SPG1
Q9SN28	F4IWU7
Q9SN28	A8MS32
F4JLM5	P39207
Q9XF89	F4JHA2
Q9SZY1	Q9M084
Q9SZY1	Q7XJS0
Q9ZSA8	Q9FLY0
Q9SZY2	Q9LHJ3
Q9SZY2	Q9SQU2
Q9LD55	Q9LV32
Q9SZ69	Q9SJV5
Q9SZ70	Q39091
Q9SZ70	O04318
F4JQK3	F4IK96
Q8L742	Q9SJA7
Q9SU34	Q9LJC4
F4JRD3	F4J361
F4JRD3	F4JZK9
Q9SU24	F4IEU4
Q9SV79	Q9FG87
Q8L7B2	Q39043
Q9T0K2	Q9LMM1
Q94AR8	F4K1G2
Q9T0L5	Q70DU8
Q9T0G7	Q9M0Y5
P54144	P93736
Q9SVP6	Q9FE29
Q8L968	Q8L770
O23254	O04151
Q8VY62	Q9ZUP2
Q9LDN0	Q9T012
Q07356	Q9ZQ78
P58728	F4JV80
Q6NML5	Q9SKU1
O23346	F4ISV6
Q5XF36	P92985
O23361	Q9SZ45
Q9FR95	O64989
O23403	Q9C9I5
O23403	Q8GYJ9
O23403	Q9XQC7
Q38854	Q9AST9
O23429	Q9FJH0
F4JL11	Q9FVX0
Q5PNU3	Q9LJL8
Q9SUK9	Q9M1Z5
O23504	F4HT36
Q0WPK0	F4KB73
Q43315	Q8LF48
O23564	Q8L626
O23596	Q94A41
Q8W463	F4K390
Q6NNI6	Q94K75
Q6NNI6	O24621
Q9C5C4	Q42583
O49726	Q94K52
O49733	Q9SKZ7
Q9SN39	O04848
F4JSC0	F4JPJ1
O81852	Q9SB00
O81864	Q8LPK6
O81865	Q39256
P82753	Q9M2B0
F4JU09	Q9LHB3
Q940H2	Q8L7S8
O49429	Q8VYS4
Q9SUN3	O48946
Q9SVG9	P42043
F4JVN6	Q9SHY8
O49552	Q9FY49
O49552	Q5PNU0
Q9LDR8	Q9SUE7
Q84MD8	Q9SDN0
