Q966H1	P91129
Q9TZM5	Q9NAK6
C1P663	A4Q8F6
Q21763	Q9XWH5
P54936	U4PMA7
O45367	Q9BL45
Q18688	Q966H4
Q9XWI6	Q27497
P34397	Q20898
Q09415	G5EFP3
Q7JKM7	H9G2U2
Q09281	O45726
Q9XUY2	Q9N5M2
Q9N2Y1	Q20502
Q21243	B6VQ94
G5EGN3	O16202
P90849	Q09390
G5EFL5	Q19388
Q23158	O02100
Q6RYS9	H2L006
P52013	Q20872
O76602	P04630
G5EC16	G5ED35
Q9N323	G5EBN9
Q09629	Q9U1Q4
Q22302	Q9N3I3
Q21776	Q9U2B5
H2L2E3	Q20022
P30647	G5EFL5
A0T4F5	Q7YTL4
L8E6M1	P90829
P43510	Q18276
G5EG62	O17324
Q8WQG9	Q9U330
U4PCM1	B7WN72
O02108	Q20752
H2KYB3	O44820
Q19266	Q9NAN1
Q22570	G5ECX2
O76618	Q20624
G5EFS1	Q7JMR0
Q9U1S3	Q23361
G5EEV2	Q21053
Q17620	Q20374
O44478	O01813
P52016	P34477
Q09956	P34766
Q9XW44	O62061
Q9TY03	O62481
P41830	Q9XVH0
O17037	Q9XW33
G5EBU5	U4PRH5
P50488	Q7JP82
Q9NAE1	Q7YXD7
H2KYW0	Q8WTJ4
Q86D99	A8WFK3
O16939	Q9BL58
Q9NEY7	P54137
Q9U1S3	Q95R19
P90793	Q19196
Q21430	G5EEW9
P91457	H2L067
Q9N4I4	Q21694
Q9TZL9	O62220
O17590	S6EZU2
O45137	Q966I4
O01325	Q95017
Q19768	O44514
G5EC16	P34766
G5EFW8	Q23312
O45784	O01322
Q4ZGE5	Q09595
Q19825	Q18164
Q21182	Q23164
Q9BL73	Q9TXU0
O61848	Q19165
O62464	Q09202
H2KML2	K8F7Y3
P91332	Q2V4X2
Q10654	O45679
Q9N5R0	O16368
G5ECA1	Q18299
Q9XXQ4	A4F318
Q966L6	Q19973
Q22000	Q21407
Q9U2U3	Q27481
Q18143	Q9BLB5
Q17525	Q95QR5
Q9N4E6	Q09591
Q22078	P54811
G5EGT6	Q9N593
O16764	Q09618
Q9U489	G5EGM9
Q9TYU9	Q20952
G2HK09	Q23533
O02336	A7LPD9
P91264	Q18412
Q18888	O01320
Q21290	C6KRN7
Q10933	O44810
H9G2W5	E4MVD5
E1B6T7	Q9N3F2
A5Z2V7	G5EC23
H2KZV9	Q9GYH7
Q22318	U4PMB4
Q9NAH3	Q9TXH9
P52814	Q21009
Q7JLR2	Q9XVN7
O44777	G5EGK8
C0VXV6	Q22370
Q09461	Q9TYT8
P34428	Q9N4L9
Q65ZJ0	O62281
Q19709	Q9TYQ4
P46549	P53013
O16725	Q9N2L7
Q9BKT9	P90829
P34604	Q9N3H5
Q21888	Q8MNR7
Q68TI8	Q9XTR1
Q8TA47	Q19767
Q19766	Q9U241
Q95Q09	Q21901
Q45EL5	P91500
O62422	Q18660
O01826	O18650
O17915	Q9XWG8
Q7YZV1	O01887
P91403	Q23154
Q09451	P34892
H2FLM3	Q95QA3
O17707	Q8MPU7
Q20457	Q8ITZ2
Q18343	H2L0N3
Q9U3M0	O62025
Q23447	O61783
Q17558	P34429
O45528	Q9TZM5
Q18688	Q93743
O45078	A0A0K3ARZ7
O16956	P55326
Q20291	O45175
G5EEK0	O45218
Q9U3S9	O44984
Q9XXI7	P34595
Q95QG8	Q93250
O16742	G5EDX6
Q95ZW1	Q9U1Z5
Q21230	Q9N4G9
Q7YTM3	O44691
H2KZQ8	Q19989
G5EC44	Q95ZQ4
Q9N5G7	H2L2D8
Q23673	P34481
Q19296	Q93759
Q9XXP7	Q965P4
Q9XXT6	O45450
P47207	P48166
Q21006	O17611
Q17430	Q21924
Q9UAY9	Q18240
Q09565	O44883
G5EDY1	E5QCH1
P34667	Q9BI74
U4PFF9	F9UKU9
P41779	P22980
D3KFU2	Q4W510
Q95Y12	O62188
Q17607	Q20680
G5EGB3	O16686
P50880	Q9U221
B1V8J4	P30636
Q21276	Q19651
H9G358	P91873
Q09637	Q93569
A0A1C3NSL8	Q8WQG9
Q95QC4	Q95XP5
P17343	A0A0K3AQM0
G5EBY6	Q09462
P51404	V6CJI3
Q19371	Q19798
P90990	P91493
Q09665	Q9XVA1
Q95QD7	Q10955
Q27522	Q9NAH8
Q21502	O76447
O45403	B1GRN6
Q95XL1	G5EFT3
O76636	Q20144
O17155	Q1ZXU1
Q19591	P34687
H2KZK0	S6EZP9
O76616	Q9XWR1
P48996	Q9N5Q7
P34303	Q10654
O16458	Q95QL2
Q9XV33	P02513
Q21915	Q22483
H2L0I6	O02159
Q20774	D0VWM8
Q9NET7	G5EFA7
Q21067	O44887
O44821	Q9TXR4
I2HAK3	Q20838
Q23280	Q965S8
O16315	Q94986
P34669	P34885
Q20898	Q21025
Q93382	Q9NEU3
Q23067	I2HAE5
Q95Q32	Q22137
Q966I7	O17580
D1MN67	Q22694
H2L045	A0A168H1X0
Q17473	H2FLG7
O02334	Q9U3A6
Q23360	G5EEQ8
Q9XXS2	O16741
H2KZ11	O62247
A5JYR6	G5EES9
Q22460	Q9TXJ0
Q19279	Q95XJ8
G5EEH0	Q23541
Q11090	G5EC69
A5JYR8	P10567
P90989	Q09305
P06582	Q21437
Q17720	Q20548
Q9N393	Q18316
E9P873	Q9XX72
Q9TXM7	G5EGE6
Q95XA0	Q9XVE4
O18088	Q4R120
Q17433	Q11183
Q21402	O61897
O45434	O01759
Q9TXS5	Q4W5S6
Q93789	E1B6S1
Q9XX85	P91513
P34650	A9D417
O45720	Q21917
Q52GY2	O01789
O18152	O45813
A0A0K3AU53	O01596
P19626	O61849
Q95X83	Q21323
O16701	Q18424
Q17525	Q7Z134
Q9XUV1	A0PD37
P90740	Q9U1S8
Q9BL58	Q20456
G5EE77	P34519
B3WFW0	Q10654
Q09543	O76258
Q21824	Q23571
A0A061ACQ8	P32739
Q95XC4	Q22038
G5EGF0	Q9XUT3
P34659	Q9U228
Q95Q27	Q93367
Q19709	Q2EEL8
Q19665	Q9U2N2
Q94129	G5EG05
Q7JNM2	Q9GYH7
Q19883	H2KZW3
Q95XU6	Q95YF1
Q9N593	Q95YD9
P24888	O62265
Q9TZE7	Q688B9
Q9XVS1	Q23383
Q95Y26	Q18142
Q22037	O01501
Q22449	Q95XM1
O62250	P49404
Q23313	O16512
Q23483	Q9N5Y2
O17527	A5JYT9
O62069	P91332
Q9NAC5	Q20483
Q19048	Q09931
G5EEQ8	Q19869
P45897	O62466
O61757	M1ZMJ0
Q9XUS3	Q9GPA4
Q95XM2	Q9U295
Q19579	Q9N3L7
Q9XX60	Q95XJ2
Q9TY07	O02088
Q9U3S3	O45952
Q22763	Q22667
Q23419	Q9NAN1
D3DEM5	A0A061AKR0
Q9XUE6	Q8WQA4
O44588	P04630
P34514	Q966H1
H2L2E3	Q19375
P39055	E9P843
Q5CZ52	Q22938
P91398	Q9N4M0
Q9XWP0	P34419
Q93705	Q94236
Q18595	H2KZ09
Q9TXR4	O45108
Q20380	O44871
G5ECB6	Q9XUS3
Q18639	G5EDF9
Q9N4R6	Q20548
Q4PIU0	G5EBG1
P35800	Q9N4X8
Q18865	U4PQV1
Q8WQE7	O61789
Q18339	Q9NAE6
P17331	Q20624
Q9U2A9	P34342
Q9U2W0	Q21415
P49632	Q20943
Q965V9	Q965Q2
H2KY90	Q22343
Q9XV62	Q19766
O01863	O17398
O61967	O76653
O45502	Q18997
O01700	P41958
H2KY62	O76447
C1P653	P91498
Q17763	Q9N408
P34669	Q8I4C9
E5QCH1	Q9XX35
Q966P6	Q2PJ68
G5EF37	O45824
Q21279	P49596
Q8WQC9	P49809
P49622	H1UBK1
O16775	Q9NAM7
Q18366	G5ED85
Q09621	A0A131MBU3
Q9N5V3	B9WRU1
Q9XVS6	G5ED44
Q22055	Q95XQ8
Q9N3X7	H2KZE1
P91182	G5EGK5
O44782	P39055
H2KYG6	Q18043
O01600	O76704
Q17446	Q19727
Q9TXU0	Q7JLR2
Q9BI40	G5ECI8
E2S7J2	O45299
Q21494	Q9GYK2
G1K0Z1	O62368
O45310	O18222
G5EBI0	Q17381
O76743	Q19272
Q7YSI9	P34556
P53585	Q9U1W7
Q9XUS7	P34371
Q9XW20	Q1ZXS5
Q23288	Q9U1W2
Q8MQ07	Q2HQJ8
O01613	O17016
Q20451	Q8I4D4
Q09444	Q27511
F5GUH2	Q95ZN4
Q22805	Q9N4N4
Q19744	Q10653
A7WK41	Q9XW36
O18694	Q22138
Q20082	Q20595
Q22343	G5EFT5
Q21904	Q18675
Q18297	G5EBI0
Q18315	O76577
Q18297	Q19978
Q17851	Q9NAA1
Q20626	L8E6Y3
Q23456	Q17800
Q19440	G5EFQ1
Q4R137	Q19415
Q20865	Q18492
P45971	Q93890
Q86FL9	Q9NAC0
Q21629	G5EF82
O18210	Q18496
Q17617	Q20268
G5EET2	Q9N5R9
G5ECK3	P30628
P52484	Q8T3B9
O02274	G5EEJ2
G5ECQ1	Q6BEV3
O17580	G5ECU5
H2L0N3	Q95Q15
Q95Y51	Q22156
Q9XXI3	P54815
D5MCR3	O45923
U4PS29	Q9BHK8
O44490	G5EBK2
G5ECC7	Q7JNM3
Q20724	B3WFV5
O16466	E3CTH4
Q93839	Q9NAF2
O45502	Q93594
Q19112	O45338
O61817	Q966L5
Q21501	Q09466
P34303	Q95Q98
P43507	G5ECJ6
Q21624	Q9XTF3
G5EFY7	G5EF11
Q9XTR1	P0CG71
Q23122	Q9U1X9
Q9GRV9	Q9TYS4
B6EU64	Q11094
Q9N5L9	O16966
Q09594	Q9XWW9
O45001	Q95ZQ4
G5ED82	P48460
Q05036	Q9XX18
O44819	Q9N306
Q20546	O76695
P41934	Q19319
Q93619	Q17607
Q93830	Q9NAC2
P48152	G4RXP2
Q9N4V7	O62223
Q9BL15	O76618
Q9N5G3	Q9TYL2
P34393	Q22336
Q19110	O76407
Q23054	Q7YX55
O62272	Q03560
Q9TYK0	Q23498
Q95XN7	Q20470
P34260	Q9TYT3
Q23676	Q8MYN9
P34396	Q9N4V6
O16999	Q10039
Q9N5R0	P91551
Q17456	P34575
G5EFA7	Q21404
Q9N4A7	P34722
Q09294	P91233
O45832	Q8IAB1
N1NVB7	Q95Q95
Q18510	H2KZZ6
Q18471	H2KYW8
Q9UAT1	G5EBJ7
Q8IG39	O01739
Q9XU06	G5EFY1
O45145	Q23046
Q18115	Q21955
L8E6K9	G5EDG4
O18238	Q65XY4
P91301	Q9XTC6
Q19987	Q7YTH5
Q9TXM1	Q22795
Q9NAC5	L8E6K9
H2KZS2	P91406
Q22682	Q9UAV5
P90883	Q9BL28
G5EDI2	H2KZ54
A0A2C9C3A3	O62497
Q9N584	Q9GYT0
Q53U87	P34576
O45398	Q9XW34
Q09584	Q9N358
Q20774	G5EEG8
Q09250	G5EDW1
G5EFD9	Q9BI89
G5EFC8	P53596
O18100	Q965G4
O16499	Q22981
Q09524	O76365
Q9U2I7	Q65ZA8
O62466	Q94051
Q9XWL0	Q8MNV1
Q09455	Q9XXU5
Q19490	Q21752
Q95QD9	Q19590
Q9BL54	Q8MXU4
G5ECF2	Q23027
O45535	Q9N573
Q19713	Q18993
H2KZY6	Q9NAE1
P34274	Q20069
G5EFF7	Q9N3S4
Q9XXJ4	Q20226
Q21808	G5EGF3
Q19809	Q8MQ75
A0A131MCT5	O44719
Q22800	Q03560
Q09279	Q22373
Q21430	Q9U1Z0
Q20845	Q19131
Q9N3I5	Q20793
O17397	O01593
Q20878	G5EGE3
G5EFQ5	Q17625
Q18878	G5EEV9
O18152	Q5FC64
O01460	O17754
O44658	U4PFA8
Q93839	P52713
Q9XUN0	O62300
O76725	G5EBV5
Q9GYQ7	Q20969
Q21215	V6CJI3
P53014	Q9N4G8
H2KZE6	G5EGN2
G5EDG8	P34710
G5EFA2	Q9NAN1
P90970	A0A1D3PDA8
O44619	O61787
Q9U2P3	O17407
Q20679	Q09456
C2BR91	Q9XU44
Q20966	O44505
Q9N580	Q23087
Q58A90	Q18847
Q19046	G5ECL2
Q9XTT8	Q23068
Q22092	G5EGC9
Q23359	Q21559
Q10127	O02218
G5EDE9	Q9UB28
H2L0L4	Q95ZQ2
D7SFL1	O17554
Q4PIW1	A7LPH9
O61466	Q9XXR4
B3KYC0	Q19680
O45148	O01502
O44913	Q11083
O45319	Q17978
O17213	P91400
Q20736	Q9U7D5
O01530	O17528
Q20052	O01422
Q94057	O76835
P91225	P91295
O18183	Q23102
Q56VY4	P91844
Q95QC4	P91416
Q8MXI4	O62193
G5EFF2	Q4W511
C1P633	Q22895
Q05062	O18182
P91149	G5ECD7
Q965S0	H2KYN6
H2L0S5	Q19005
Q9XXI9	Q18688
Q9GYQ7	A3QMC8
Q9N3H3	Q9TXM0
Q19410	O45508
Q21890	P62784
Q95QD7	Q8MXS8
P27420	O62251
G5ED36	Q8MXR3
Q9XVS2	Q9XU25
G5EET4	Q22178
G5EEZ6	Q10658
P34673	P52275
G5ED44	Q95V25
Q8MQA1	Q21004
G5EEH9	O01806
P91915	P34439
P34328	Q21017
O44482	Q9UB00
Q11177	O17397
O16366	Q09353
Q9XWX0	Q9N4B7
O44883	Q23198
Q23297	Q95XM2
Q18695	Q19848
P55853	Q20644
O01571	G5EC86
Q09475	G5EG26
O76835	Q93485
O61890	C6KRM9
Q21029	G5EGK8
Q20821	P46582
Q9U3K2	Q21736
O44885	O61789
Q10038	O45720
G5EFG4	Q9N3L2
Q17540	Q9U380
Q09590	P54412
Q86D01	Q09597
Q9U2A9	Q9BHK7
G5EEL5	Q95Q95
O02217	H2KYG8
G5EDD8	Q965Q2
Q9N4H9	Q93758
Q9U2J3	Q95Y26
H2L2H0	Q9XVZ6
Q93459	O17214
P90908	G5EDQ2
D3KZG3	B3WFZ3
G5EFT3	A1EHR2
O17921	Q19131
G5EE14	O62327
G5EEV0	P91248
Q20845	Q93177
Q9NLD4	Q3V5I9
O16680	O16723
O45745	H2KZR3
Q9NAH6	G5ECH7
G5EFD7	P42000
Q20270	Q7YX16
Q20022	B7WNA2
Q8IA65	U4PMP9
P34466	Q9N3Q9
Q27511	O01960
Q23361	G5EE01
Q7YWN8	N1NTK5
W6RQY9	P91273
O45687	P48152
Q21888	G5ECG7
Q95XR3	Q9U240
H2L0L4	G5EFV3
Q22613	Q18530
Q95Q35	Q19954
Q22316	Q22942
Q20451	G5ECY0
Q22601	O62275
Q9NAQ9	O16264
P30634	Q23673
Q9XX32	O76434
Q19833	Q18854
O01692	P34546
O16925	C0HKD6
Q564T5	Q9NAD2
Q9XXR3	U4PCM1
Q8WQB6	O18191
Q22516	O01658
Q7YTT6	Q9GYT6
Q9U1W7	P49596
Q22942	G4SFC3
H2KZL3	O16720
O61203	G5EFQ5
H2KYA0	Q9TXY8
Q9N341	A0SQM0
Q95XF7	O45966
O02249	Q9NAD2
Q95QC2	Q18547
Q9N4U1	Q17754
O17177	Q9XV44
Q86S35	O45021
P34349	P91308
Q27886	Q3LRZ3
Q23089	O01789
O45926	G5ECD7
A3KFE6	O61955
Q5CZ33	Q965Y8
Q22267	Q8WQF8
Q21453	Q18390
G5EEM1	Q22725
Q93168	Q7YWN1
P34684	O16273
P91263	Q18206
Q09960	Q9TYR2
P46822	A5JYW9
Q21517	P90980
C6KRL0	Q9TZI8
Q22532	G5ECQ8
O01542	Q9XXQ4
O17854	Q9TXZ7
Q20351	Q09622
G5ECC0	G5EBQ3
Q9U2V4	Q21559
Q2PJ74	Q58A98
Q19975	B1GRN6
Q18035	Q20947
Q95YF3	P34703
H1UBJ9	P34346
H2L0Q6	Q8MQ20
Q20398	Q21418
Q94417	O16771
Q9XVS3	Q9U3M0
Q9NH52	Q93902
O16638	Q18469
Q8WQC4	Q95PZ0
P34662	Q18610
P90847	Q23406
Q18573	Q9XVN4
Q9N3F6	A5JYT9
P52010	G5EGE7
H2KZR3	Q94269
A0A061ACQ8	Q93344
P91093	Q9XXM6
P34454	Q19722
Q18854	Q18891
Q9N3S7	Q8ITW8
A8DZ30	Q4U220
Q22035	Q8I4J7
G5EGQ6	G5EFH7
Q9NAB3	O45698
Q18492	P19626
Q9GZH6	G5EDT1
Q9TZD9	O44152
P34295	Q965S2
P90835	Q18258
O02324	Q9N4D6
Q22352	O45667
O02115	Q9N364
P04630	Q20039
Q20143	G5EFK4
Q93207	Q19646
Q21762	Q19434
Q9XUU9	O61799
O01813	A0A0K3AQR2
Q17440	Q8WQC5
Q9U357	Q20059
O16794	Q9XWM3
Q9U329	Q9GYR2
Q18194	Q21531
Q20709	P34703
Q19350	G5EGM1
Q9N364	A5JYR6
Q9BL45	Q9BHM0
A0A0K3ARB1	Q9N4C3
Q9XW79	G5EG18
Q10580	G5EGK1
Q22227	Q9U3D5
H2KYD9	O17006
Q9XWK5	Q965N3
Q965Q4	P49808
P49596	P34368
Q9GYG4	P91428
Q23521	P34428
O76627	Q95X85
Q21924	Q22557
Q9GZH5	G5EFP3
Q10578	Q09531
G5EDU2	Q21190
Q9XX46	Q17388
Q19222	B5U8M3
O01571	Q9N598
Q9N4D2	Q9XTS5
O45569	O18154
O62204	Q20875
O62235	Q9BKR5
Q94392	Q20358
O45815	P0DM42
Q27488	Q9U3D6
O01925	Q9XXA2
Q18167	Q22544
Q3Y407	Q95PW9
G5ECH7	Q22695
O01489	P34657
H8ESF3	Q9U226
P03949	Q09345
Q18171	V6CLN5
G5ECK4	Q11181
A0A0K3AS36	Q9U304
P34559	P36573
P34643	P90978
P41846	Q19418
G5EFL5	Q966J6
O18051	O61967
Q18953	Q5WRT0
Q20498	Q9NF14
G5EGG0	Q21655
A0A0K3AS36	U4PBJ9
G5EGU9	Q17936
Q20237	Q21484
G5EC32	Q9U2Z0
Q9GSX9	Q9N4B8
O02139	Q09284
Q20476	Q9XW13
P90925	P90976
Q17446	Q9TZ16
O44606	O62415
O18051	Q86NJ4
Q6A573	Q8ITV6
P46822	U4PAK4
O01869	O62126
Q9XVN3	V6CJ04
Q20774	Q95PW5
O18302	O45521
G5ECG0	P34427
G5ECZ8	Q19980
G5ED66	P41934
Q18056	Q21177
O16266	Q9XVU2
Q23359	Q9TXN8
O45709	Q19774
G5EGG0	Q17636
G5EDS1	G5EFF1
O45865	Q18268
O16364	O62305
O45539	O45812
G5EEM0	Q22289
O17670	Q9NAE9
A0A061ACP8	Q19951
H2L0I2	Q17865
H2L008	O02273
G5EF34	Q22048
Q11178	Q65XX7
H2KYH4	P20271
G5EC77	O76398
O45521	Q9TZB8
P42171	Q11189
G5EDU4	O17670
P34489	Q19849
Q22910	Q9XWR1
Q17539	Q23390
O01482	O61890
G5EGG0	O01437
G5EF02	P55853
H2L2B2	P34331
P34643	Q95PW9
O02058	O02058
Q19848	Q19848
G5ECP6	O45521
Q9NA56	Q9XWH5
O17915	Q9N4I4
G5EGI1	Q965J0
O01775	P91249
A5JYW9	Q09602
H2L0F6	Q20676
P45896	Q09349
G5EEZ3	Q19937
G5ED39	P45897
Q9GT24	X5M5W2
G5ECP6	Q22289
H2L0F6	O18301
P91913	Q93572
O18302	P46562
G5EEM0	Q9NAE4
P91529	Q9N415
G5ED84	Q9N3H9
O18302	Q18848
P34286	Q8WT44
O18301	P91820
G5ECY0	Q21648
Q21746	Q965K8
G5EDU4	Q9XUK2
Q18750	Q23158
O45075	Q9N5D6
Q9XVV3	U4PMB4
P54412	Q21266
G5EFL5	Q22459
O62259	Q9U2K7
O45521	Q19964
G5EF02	Q1ZXS5
Q18694	Q94131
Q17865	Q7K7J0
P34808	Q9BL19
Q09249	Q93716
O18302	O77469
P28548	Q9U1R1
P28515	P91866
Q18488	Q19774
Q09565	Q17868
H2L0N7	Q23541
O62387	Q9XVK6
P91835	Q95QD9
O18246	Q17659
P34618	Q18512
Q18938	Q18938
P91820	Q9XU77
O44144	P54936
Q18739	Q9XV56
Q19203	Q8MQA7
P34599	Q9N5D6
Q20498	Q93557
G5ECR7	G5ED84
O01498	Q21648
Q22289	Q22510
O61742	P91079
Q18241	Q9NAE4
Q23646	Q9NF14
Q22798	Q9NAC5
G5EGD2	Q9XV46
Q10924	Q18056
A0A0K3AUI8	Q20062
P34605	Q03563
G5EDU4	Q9XYB7
P41999	Q8MQ03
O17917	Q21944
H8ESF3	Q9XUB2
Q23356	Q9U2Z0
Q18171	Q9XXL3
P34441	Q19189
Q9BI75	Q9U2R6
H2KZU4	Q9TXN8
Q1XFY9	Q20483
O01869	Q65ZG6
G5EG84	Q9XUB3
H2KZ27	Q9NA84
Q93348	Q9NAE4
Q19969	Q9TZ84
Q95Y15	Q9U2D9
C0HLB4	O01802
P34330	Q8ITY3
Q22945	Q9U9K0
Q19418	Q9N4L2
Q22752	Q9TZM9
Q18043	Q9XVD5
P45897	Q18859
H2L008	O18214
Q22227	Q95ZV8
P34342	Q19969
G5EE32	P30625
Q9U2Z0	Q9XTT9
Q18066	W6RTA4
G5ED66	O01960
O01527	Q17381
O16500	Q19138
O17915	P27798
H2L008	Q9GYG1
O62238	Q93654
A0A0K3AS36	Q9XTY6
O02043	Q10902
G5EEM5	H2KZE4
H2L045	Q10929
A0A0K3AS36	Q9U1W1
P45962	Q09597
Q9TZI2	Q9U226
Q9N2Z7	Q9U304
P34258	Q95PW9
Q19418	Q9XW80
P39745	Q8TA83
O02289	Q22826
Q19418	Q65XX7
G5EDW8	Q20498
Q95XA8	Q9XW88
H2L0S7	Q20398
P90900	Q19713
Q9GRZ1	Q9N312
Q20398	Q965J0
Q27894	Q9U1W5
Q17715	Q17868
O45815	P0DM41
Q9U252	Q9XU77
P49594	Q65ZJ7
O45137	Q19185
Q45FX5	Q9XW88
G5EDU4	Q23045
G5EE56	H8ESF3
O45197	Q21746
O01482	O16311
G5EEM0	Q9N410
P39745	Q23463
O16525	Q9XV35
Q95Q25	Q95Q25
Q18053	Q18056
O45335	Q22799
P91870	Q20282
Q9TYX1	Q9U2F6
H2L010	O17695
O18301	Q9N5N7
P92004	Q22174
P34474	Q9N410
Q93794	Q9N5V2
H2L0F6	Q21018
P91056	Q93697
O01576	Q9U3B9
P34427	P90901
B1V8A0	H2KZV4
Q95ZX5	Q9N574
Q9TXN8	Q9TYU5
P34496	Q17746
G5EGG2	P53016
P34397	Q9XU77
O01427	Q86NJ4
G5ED95	G5EDR3
O17915	Q564X0
G2HK15	O02042
O44749	Q20655
O76258	Q17796
G5EGG0	Q22206
O62259	Q22910
O16684	Q95XW5
P91209	Q95YF3
O17670	O45784
G5ECG0	Q9XX47
G5ECG2	G5ECU7
A6ZJ46	O17173
G5EFW3	Q95QA6
Q18938	Q9TXH9
G4RZC8	Q95PV6
G5EBG1	Q93654
O17687	Q09506
O44480	Q9NH52
P34688	Q93654
A5Z2V1	Q17936
Q17865	Q18314
O45734	Q27481
G5ECY7	O62305
Q94131	Q95YD9
P10038	Q18239
O17933	Q17905
Q18605	Q9XWJ8
O18302	Q18084
O16850	Q17941
G5EGD2	Q18299
Q17936	Q18241
Q18329	Q19325
G5EFV4	Q95QC4
P91563	Q93535
O62071	Q9XVC5
P34663	Q18533
O18195	Q03563
G5EGG0	Q65XX1
G5ECZ8	Q9U1T5
G5EEG1	G5EFL5
K8FDY0	P03949
P91408	Q21746
O45666	O62159
O45521	Q22551
Q8TA83	Q8TA83
P92004	Q9N4G9
O17850	P54812
O18246	Q9XVI9
B1V8A0	Q21648
G5EFS1	Q22166
G5EDU4	Q20237
O17224	P52713
Q19291	Q9NAE4
G5ECP6	Q22227
O16682	Q17868
O61742	Q22741
O17081	O45666
G5EDU4	P34427
Q8MQ71	Q9N415
O02042	Q21361
Q19418	Q9N360
O16313	Q9XUE7
G5EGG0	Q17695
P39745	Q21088
Q21777	Q21777
O16364	O44572
Q17941	Q20398
Q18056	Q22289
G5ECU1	O01606
G5EDS1	P53017
H2KYP0	Q95QA6
Q4LDP0	Q9XTT9
Q9TY01	Q9U1T5
Q18060	Q95QA6
P34416	Q20010
O62259	Q65XX7
P46769	Q9U2M7
O17352	Q22227
Q19418	Q95QB3
O17670	Q10014
P91277	Q9GRY9
Q03607	Q22922
H2L0F6	P34609
P45897	Q19813
Q86MI0	Q86MI0
H2KZI6	Q22227
G5ED66	Q9TXN8
Q17850	Q95PW9
P0DM42	P0DM42
Q95QW0	Q9XUP3
P45962	Q21342
O45075	Q18056
P35602	Q9N5N7
G5EBG0	Q18090
A0A1C3NSL9	Q45FX5
D9N147	G5EGB9
O02273	Q09477
G5EFL5	Q9N312
P20271	Q22289
G5EBE3	Q9NES7
Q22174	Q9TZ50
P91820	Q19951
Q20660	Q86NH9
G5EBR0	P92186
G5ED66	Q9N5S3
P34258	Q20745
O17072	Q22826
A0A1C3NSL9	Q9U2Z5
Q09477	Q20237
G5EE56	Q86NH1
A5JYW9	O17670
P54412	Q9NAH3
O45799	Q22631
Q18056	Q20201
Q19418	Q9N5S3
H2KYH4	Q19418
G5EGD2	Q21372
Q9N5S5	Q9TZK8
Q33BL4	Q9U2D8
H2KYX8	O16369
O16519	Q21747
G5EBY0	Q20422
Q19418	Q9XWQ6
Q19286	Q27395
G5EDE1	O02482
G5EF34	O01497
P13508	P90868
G5EFA2	H2KYJ8
O45550	Q19418
O62216	P41829
P53585	Q93646
P36573	Q94378
O44577	O45666
O77469	Q95QC4
Q8TA83	Q9BL83
